index,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
20,Leclerc,74,Leclerc Relais Technopole d'Archamps,Leclerc_Relais_Technopole_d'Archamps, 74160 Archamps , Rue des frères Lumières74160 Archamps ,46.138639,6.120857,https://fd2-courses.leclercdrive.fr/magasin-027418-027418-relais-technopole-darchamps.aspx,http://maps.google.fr/maps?q=46.138639,6.120857
21,Leclerc,74,Leclerc Relais Viuz-en-Sallaz,Leclerc_Relais_Viuz-en-Sallaz, 74250 Viuz-en-Sallaz , 30 Route des Brasses 74250 Viuz-en-Sallaz ,46.16395568,6.4128704,https://fd2-courses.leclercdrive.fr/magasin-027419-027419-relais-viuz-en-sallaz.aspx,http://maps.google.fr/maps?q=46.16395568,6.4128704
22,Leclerc,73,Leclerc TournonAlbertville,Leclerc_TournonAlbertville, 73460 Tournon , 217 Rue du Grand Arc 73460 Tournon ,45.643943,6.331702,https://fd16-courses.leclercdrive.fr/magasin-057301-057301-tournonalbertville.aspx,http://maps.google.fr/maps?q=45.643943,6.331702
23,Leclerc,74,Leclerc Ville-la-Grand  Annemasse,Leclerc_Ville-la-Grand__Annemasse, 74100 Ville-la-Grand , 18 Avenue des Buchillons 74100 Ville-la-Grand ,46.200099,6.271005,https://fd2-courses.leclercdrive.fr/magasin-027411-027411-ville-la-grand-annemasse-.aspx,http://maps.google.fr/maps?q=46.200099,6.271005
24,Leclerc,03,Leclerc Avermes,Leclerc_Avermes, 03000 Avermes , Avenue des Isles 03000 Avermes ,46.5761111,3.31888889,https://fd3-courses.leclercdrive.fr/magasin-050301-050301-avermes.aspx,http://maps.google.fr/maps?q=46.5761111,3.31888889
25,Leclerc,03,Leclerc Bellerive-sur-Allier  Charmeil,Leclerc_Bellerive-sur-Allier__Charmeil, 03700 Bellerive Sur Allier , Route de Charmeil 03700 Bellerive Sur Allier ,46.146318,3.395996,https://fd13-courses.leclercdrive.fr/magasin-030311-030311-bellerive-sur-allier-charmeil.aspx,http://maps.google.fr/maps?q=46.146318,3.395996
26,Leclerc,03,Leclerc Cusset  Vichy,Leclerc_Cusset__Vichy, 03300 Cusset , Rue des peupliers 03300 Cusset ,46.134795,3.432654,https://fd13-courses.leclercdrive.fr/magasin-030301-030301-cusset-vichy.aspx,http://maps.google.fr/maps?q=46.134795,3.432654
27,Leclerc,03,Leclerc Montluçon - Les Marais,Leclerc_Montluçon_-_Les_Marais, 03100 Montluçon , 22-28 avenue Pierre Villon 03100 Montluçon ,46.353356,2.586561,https://fd12-courses.leclercdrive.fr/magasin-040301-040301-montlucon---les-marais.aspx,http://maps.google.fr/maps?q=46.353356,2.586561
28,Leclerc,03,Leclerc Moulins Sud,Leclerc_Moulins_Sud, 03000 Moulins , 5 rue Montepulciano 03000 Moulins ,46.5443493,3.3405082,https://fd3-courses.leclercdrive.fr/magasin-050302-050302-moulins-sud.aspx,http://maps.google.fr/maps?q=46.5443493,3.3405082
29,Leclerc,63,Leclerc Clermont Ferrand,Leclerc_Clermont_Ferrand, 63100 Clermont Ferrand , 170 avenue du Brezet 63100 Clermont Ferrand ,45.779135,3.135733,https://fd14-courses.leclercdrive.fr/magasin-016301-016301-clermont-ferrand.aspx,http://maps.google.fr/maps?q=45.779135,3.135733
30,Leclerc,58,Leclerc Decize,Leclerc_Decize, 58300 Decize , Route de Champvert 58300 Decize ,46.83605,3.474019,https://fd9-courses.leclercdrive.fr/magasin-035801-035801-decize.aspx,http://maps.google.fr/maps?q=46.83605,3.474019
31,Leclerc,71,Leclerc Digoin,Leclerc_Digoin, 71160 Digoin , Espace commercial Les Donjons 71160 Digoin ,46.48704,3.992006,https://fd14-courses.leclercdrive.fr/magasin-107101-107101-digoin.aspx,http://maps.google.fr/maps?q=46.48704,3.992006
32,Leclerc,18,Leclerc Relais Bourges,Leclerc_Relais_Bourges, 18000 Bourges , Esplanade du Prado 18000 Bourges ,47.08274,2.38768,https://fd2-courses.leclercdrive.fr/magasin-031802-031802-relais-bourges.aspx,http://maps.google.fr/maps?q=47.08274,2.38768
33,Leclerc,18,Leclerc Saint-Amand-Montrond,Leclerc_Saint-Amand-Montrond, 18200 Saint-Amand-Montrond , Route de Charenton 18200 Saint-Amand-Montrond ,46.72361,2.54639,https://fd7-courses.leclercdrive.fr/magasin-051801-051801-saint-amand-montrond.aspx,http://maps.google.fr/maps?q=46.72361,2.54639
34,Leclerc,58,Leclerc Saint-Eloi,Leclerc_Saint-Eloi, 58000 Saint-Eloi , Impasse de la Sablière 58000 Saint-Eloi ,46.983623,3.214611,https://fd11-courses.leclercdrive.fr/magasin-015811-015811-saint-eloi.aspx,http://maps.google.fr/maps?q=46.983623,3.214611
35,Leclerc,60,Leclerc Saint-Maximin,Leclerc_Saint-Maximin, 60740 Saint-Maximin , Avenue de la Païx 60740 Saint-Maximin ,49.232015,2.460081,https://fd8-courses.leclercdrive.fr/magasin-026001-026001-saint-maximin.aspx,http://maps.google.fr/maps?q=49.232015,2.460081
36,Leclerc,07,Leclerc Davezieux,Leclerc_Davezieux, 07430 Davezieux , Route de Lyon 07430 Davezieux ,45.257428,4.696312,https://fd14-courses.leclercdrive.fr/magasin-074211-074211-davezieux.aspx,http://maps.google.fr/maps?q=45.257428,4.696312
37,Leclerc,07,Leclerc Saint-Peray,Leclerc_Saint-Peray, 07130 Saint-Peray , Avenue de Gross Umstadt 07130 Saint-Peray ,44.94325,4.858092,https://fd6-courses.leclercdrive.fr/magasin-092602-092602-saint-peray.aspx,http://maps.google.fr/maps?q=44.94325,4.858092
38,Leclerc,07,Leclerc Tournon-sur-Rhône,Leclerc_Tournon-sur-Rhône, 07300 Tournon-sur-Rhône , Quartier Saint Vincent 07300 Tournon-sur-Rhône ,45.050615,4.8312,https://fd6-courses.leclercdrive.fr/magasin-082602-082602-tournon-sur-rhone.aspx,http://maps.google.fr/maps?q=45.050615,4.8312
39,Leclerc,30,Leclerc Alès,Leclerc_Alès, 30100 Alès , 76 Avenue Jean Philippe Rameau 30100 Alès ,44.135853,4.106483,https://fd14-courses.leclercdrive.fr/magasin-013001-013001-ales.aspx,http://maps.google.fr/maps?q=44.135853,4.106483
40,Leclerc,26,Leclerc Montélimar Sud,Leclerc_Montélimar_Sud, 26200 Montélimar , Boulevard du Président Albert Lebrun 26200 Montélimar ,44.530874,4.749298,https://fd8-courses.leclercdrive.fr/magasin-102601-102601-montelimar-sud.aspx,http://maps.google.fr/maps?q=44.530874,4.749298
41,Leclerc,30,Leclerc Relais Nîmes - Castanet,Leclerc_Relais_Nîmes_-_Castanet, 30900 Nîmes , 225 Rue de Sauve 30900 Nîmes ,43.839941,4.32051,https://fd10-courses.leclercdrive.fr/magasin-023013-023013-relais-nimes---castanet.aspx,http://maps.google.fr/maps?q=43.839941,4.32051
42,Leclerc,38,Leclerc Saint-Clair-du-Rhône,Leclerc_Saint-Clair-du-Rhône, 38370 Saint-Clair-du-Rhône , Route du Péage 38370 Saint-Clair-du-Rhône ,45.438665,4.770334,https://fd5-courses.leclercdrive.fr/magasin-093804-093804-saint-clair-du-rhone.aspx,http://maps.google.fr/maps?q=45.438665,4.770334
43,Leclerc,26,Leclerc Saint-Rambert-d'Albon,Leclerc_Saint-Rambert-d'Albon, 26140 Saint-Rambert-d'Albon  , 26 route de la Maison Blanche 26140 Saint-Rambert-d'Albon,45.271944,4.822778,https://fd14-courses.leclercdrive.fr/magasin-112601-112601-saint-rambert-dalbon.aspx,http://maps.google.fr/maps?q=45.271944,4.822778
