,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
88,Casino,2B,Supermarché Casino CALVI,Supermarche_Casino_CALVI,2B050 CALVI,AVENUE CHRISTOPHE COLOMB 2B050 CALVI,42.555036,8.761484,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXHBX/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.555036%2C8.761484&hl=fr
89,Casino,2B,Supermarché Casino CORTE,Supermarche_Casino_CORTE,2B096 CORTE,QUARTIER PORETTE 2B096 CORTE,42.301262,9.154143,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXHBQ/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.301262%2C9.154143&hl=fr
90,Casino,2B,Géant Casino E-Bazar BASTIA Furiani,Geant_Casino_E-Bazar_BASTIA_Furiani,2B120 FURIANI,RN 193 2B120 FURIANI,42.65207772,9.43305987,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXHAD/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.65207772%2C9.43305987&hl=fr
91,Casino,2B,Casino Drive Furiani,Casino_Drive_Furiani,2B120 FURIANI,RN 193 2B120 FURIANI,42.65638695,9.44124115,http://www.casino.fr/casinoexpress_web/GC-catalog/fr/WE20201/?moderetrait=Z5,https://maps.google.com/maps?dirflg=d&daddr=42.65638695%2C9.44124115&hl=fr
92,Casino,2B,Supermarché Casino Ile Rousse,Supermarche_Casino_Ile_Rousse,2B134 L ILE ROUSSE,ALLEES CHARLES DE GAULLE 2B134 L ILE ROUSSE,42.634716,8.937593,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXHBT/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.634716%2C8.937593&hl=fr
93,Casino,2B,Supermarché Casino Prunelli,Supermarche_Casino_Prunelli,2B251 PRUNELLI DI FIUMORBO,RN 198 2B251 PRUNELLI DI FIUMORBO,42.0099402,9.3244042,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXHBS/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.0099402%2C9.3244042&hl=fr
94,Casino,2B,Supermarché Casino Moriani,Supermarche_Casino_Moriani,2B313 SAN NICOLAO,MORIANI PLAGE 2B313 SAN NICOLAO,42.369037,9.49318628,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXHBW/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.369037%2C9.49318628&hl=fr
96,Casino,31,Supermarché Casino Auzeville-Tolosane,Supermarche_Casino_Auzeville-Tolosane,31035 AUZEVILLE TOLOSANE,46 ROUTE DE NARBONNE 31035 AUZEVILLE TOLOSANE,43.5254938,1.4927249,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31516/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.5254938%2C1.4927249&hl=fr
97,Casino,31,Supermarché Casino Bagnères De Luchon,Supermarche_Casino_Bagneres_De_Luchon,31042 BAGNERES DE LUCHON,43 AVENUE DU MARECHAL FOCH 31042 BAGNERES DE LUCHON,42.79264856,0.59202719,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31093/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=42.79264856%2C0.59202719&hl=fr
99,Casino,31,Supermarché Casino REVEL,Supermarche_Casino_REVEL,31250 REVEL,CHEMIN DES BORDES 31250 REVEL,43.463843,2.005914,http://www.casino.fr/ecommerce/GC-catalog/fr/WE31597/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.463843%2C2.005914&hl=fr
